2: 2.236067977500, choose: 2
3: 2.645751311065, choose: 2
4: 4.472135955000, choose: 3
5: 4.881819288564, choose: 3
7: 5.291502622129, choose: 4
8: 6.708203932499, choose: 5
9: 7.117887266064, choose: 5
12: 7.527570599629, choose: 6
15: 7.937253933194, choose: 8
16: 8.944271909999, choose: 9
17: 9.353955243564, choose: 9
21: 9.763638577129, choose: 10
27: 10.173321910694, choose: 13
31: 10.583005244258, choose: 16
32: 11.180339887499, choose: 17
33: 11.590023221064, choose: 17
38: 11.999706554629, choose: 18
48: 12.409389888193, choose: 22
58: 12.819073221758, choose: 28
63: 13.228756555323, choose: 32
64: 13.416407864999, choose: 33
65: 13.826091198564, choose: 33
71: 14.235774532128, choose: 34
86: 14.645457865693, choose: 39
106: 15.055141199258, choose: 49
121: 15.464824532823, choose: 59
127: 15.652475842499, choose: 65
128: 15.874507866388, choose: 65
129: 16.062159176063, choose: 65
136: 16.471842509628, choose: 66
157: 16.881525843193, choose: 72
192: 17.291209176758, choose: 87
227: 17.700892510323, choose: 107
248: 17.888543819998, choose: 128
249: 18.110575843887, choose: 123
256: 18.298227153563, choose: 129
264: 18.520259177452, choose: 136
265: 18.707910487128, choose: 130
293: 19.117593820693, choose: 137
349: 19.527277154258, choose: 158
419: 19.936960487822, choose: 193
475: 20.124611797498, choose: 249
476: 20.346643821387, choose: 229
504: 20.534295131063, choose: 256
513: 20.756327154952, choose: 258
521: 20.943978464628, choose: 258
557: 21.166010488517, choose: 293
558: 21.353661798193, choose: 266
642: 21.763345131757, choose: 294
768: 22.173028465322, choose: 350
894: 22.360679774998, choose: 476
895: 22.582711798887, choose: 421
979: 22.770363108563, choose: 504
989: 22.992395132452, choose: 486
